event_origin_id,event_id,chosen_distance,n_candidates,n_selected,salary_candidate_share,any_selected_with_salary,all_candidates_with_salary,usable_salary,drop_reason_salary
evt_598||1449,evt_598,same_section,84,2,0.4880952380952381,TRUE,FALSE,FALSE,candidate_missing_salary
evt_59||1402,evt_59,same_department,14,2,0.07142857142857142,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_5||2056,evt_5,different_department,61,1,0.5901639344262295,TRUE,FALSE,FALSE,candidate_missing_salary
evt_602||1449,evt_602,same_section,23,1,0.43478260869565216,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_604||1190,evt_604,different_department,54,1,0.6481481481481481,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_604||2174,evt_604,different_department,27,1,0.4444444444444444,TRUE,FALSE,FALSE,candidate_missing_salary
evt_604||7506,evt_604,different_department,40,1,0.425,TRUE,FALSE,FALSE,candidate_missing_salary
evt_605||1761,evt_605,different_department,3,1,0,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_60||1402,evt_60,same_department,14,1,0.07142857142857142,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_60||8994,evt_60,different_department,5,2,0.8,TRUE,FALSE,FALSE,candidate_missing_salary
evt_612||2146,evt_612,same_section,5,1,0.6,TRUE,FALSE,FALSE,candidate_missing_salary
evt_61||7506,evt_61,different_department,40,1,0.425,TRUE,FALSE,FALSE,candidate_missing_salary
evt_621||2174,evt_621,same_section,27,3,0.4444444444444444,TRUE,FALSE,FALSE,candidate_missing_salary
evt_622||5884,evt_622,different_department,4,1,0.5,TRUE,FALSE,FALSE,candidate_missing_salary
evt_624||2003,evt_624,different_department,5,1,0.4,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_628||1335,evt_628,different_department,19,1,0.5263157894736842,TRUE,FALSE,FALSE,candidate_missing_salary
evt_628||1989,evt_628,different_department,6,1,0.3333333333333333,TRUE,FALSE,FALSE,candidate_missing_salary
evt_633||7782,evt_633,different_department,26,3,0.46153846153846156,TRUE,FALSE,FALSE,candidate_missing_salary
evt_636||2183,evt_636,same_department,10,1,0.1,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_642||7506,evt_642,different_department,40,4,0.425,TRUE,FALSE,FALSE,candidate_missing_salary
evt_643||8905,evt_643,different_department,34,1,0.4411764705882353,FALSE,FALSE,FALSE,selected_worker_missing_salary
